Date,PM10 ( µg/m3 ),PM 2.5 ( µg/m3 ),NOX ( µg/m3 )
01.11.2023 00:00:56,140.91,32.46,181.59
01.11.2023 01:00:56,130.73,31.16,79.33
01.11.2023 02:00:56,111.21,27.37,72.99
01.11.2023 03:00:56,90.39,21.52,46.58
01.11.2023 04:00:56,70.66,17.71,36.43
01.11.2023 05:00:56,55.2,14.45,59.63
01.11.2023 06:00:56,51.87,14.48,45.32
01.11.2023 07:00:56,57.08,15.32,49.88
01.11.2023 08:00:56,61.41,15.57,66.94
01.11.2023 09:00:56,71.4,15.62,132.77
01.11.2023 10:00:56,86.46,16.57,73.33
01.11.2023 11:00:56,85.72,16.63,54.7
01.11.2023 12:00:56,76.18,14.75,19.15
01.11.2023 13:00:56,59.46,10.48,7.5
01.11.2023 14:00:56,43.92,7.62,7.99
01.11.2023 15:00:56,33.5,6.92,7.96
01.11.2023 16:00:56,26.61,6.81,7.94
01.11.2023 17:00:56,23.81,1.03,9.43
01.11.2023 18:00:56,26.78,0,14.72
01.11.2023 19:00:56,36.5,1.46,33.26
01.11.2023 20:00:56,53.42,10.74,27.63
01.11.2023 21:00:56,52.14,14.63,47.08
01.11.2023 22:00:56,47.22,16.7,63.77
01.11.2023 23:00:56,0,0,0
02.11.2023 00:00:56,0,0,0
02.11.2023 01:00:56,0,0,0
02.11.2023 02:00:56,0,0,0
02.11.2023 03:00:56,0,0,0
02.11.2023 04:00:56,0,0,0
02.11.2023 05:00:56,0,0,0
02.11.2023 06:00:56,0,0,0
02.11.2023 07:00:56,0,0,0
02.11.2023 08:00:56,0,0,0
02.11.2023 09:00:56,0,0,0
02.11.2023 10:00:56,0,0,0
02.11.2023 11:00:56,0,0,66.75
02.11.2023 12:00:56,0,0,53.6
02.11.2023 13:00:56,0,0,24.67
02.11.2023 14:00:56,0,0,22.73
02.11.2023 15:00:56,0,0,21.03
02.11.2023 16:00:56,0,0,25.45
02.11.2023 17:00:56,0,0,27.87
02.11.2023 18:00:56,5.32,0,28.57
02.11.2023 19:00:56,27.13,0,52.12
02.11.2023 20:00:56,48.02,0,33.96
02.11.2023 21:00:56,45.73,0,39.03
02.11.2023 22:00:56,45,1.82,13.66
02.11.2023 23:00:56,52.49,2.25,23.54
03.11.2023 00:00:56,39.25,0,20.19
03.11.2023 01:00:56,25.44,0,43.25
